@relation 'web site 1.txt'

@attribute date {27/05/2010,28/05/2010,29/05/2010,30/05/2010,31/05/2010,01/06/2010,02/06/2010,03/06/2010,04/06/2010,05/06/2010,06/06/2010,07/06/2010,08/06/2010,09/06/2010,10/06/2010,11/06/2010,12/06/2010,13/06/2010,14/06/2010,15/06/2010,16/06/2010,17/06/2010,18/06/2010,19/06/2010,20/06/2010,21/06/2010,22/06/2010,23/06/2010,24/06/2010,26/06/2010,27/06/2010,28/06/2010,29/06/2010,30/06/2010,01/07/2010,02/07/2010,03/07/2010,04/07/2010,05/07/2010,06/07/2010,07/07/2010,08/07/2010,09/07/2010,10/07/2010,11/07/2010,12/07/2010,13/07/2010,14/07/2010,15/07/2010,16/07/2010,17/07/2010,18/07/2010,19/07/2010,20/07/2010,21/07/2010,22/07/2010,23/07/2010,24/07/2010,25/07/2010,26/07/2010,27/07/2010}
@attribute weekday {Thu,Fri,Sat,Sun,Mon,Tue,Wed}
@attribute 'nr visitors' numeric
@attribute post {N/A,'post soccer WC 2006','post soccer WC 2010'}

@data
27/05/2010,Thu,23,N/A
28/05/2010,Fri,13,N/A
29/05/2010,Sat,0,N/A
30/05/2010,Sun,5,N/A
31/05/2010,Mon,8,N/A
01/06/2010,Tue,11,N/A
02/06/2010,Wed,12,N/A
03/06/2010,Thu,17,N/A
04/06/2010,Fri,7,N/A
05/06/2010,Sat,8,N/A
06/06/2010,Sun,5,N/A
07/06/2010,Mon,8,N/A
08/06/2010,Tue,5,N/A
09/06/2010,Wed,3,N/A
10/06/2010,Thu,2,N/A
11/06/2010,Fri,16,'post soccer WC 2006'
12/06/2010,Sat,9,N/A
13/06/2010,Sun,5,N/A
14/06/2010,Mon,17,N/A
15/06/2010,Tue,11,N/A
16/06/2010,Wed,21,N/A
17/06/2010,Thu,26,N/A
18/06/2010,Fri,12,N/A
19/06/2010,Sat,2,N/A
20/06/2010,Sun,8,N/A
21/06/2010,Mon,11,N/A
22/06/2010,Tue,13,N/A
23/06/2010,Wed,14,N/A
24/06/2010,Thu,19,N/A
26/06/2010,Sat,10,N/A
27/06/2010,Sun,18,N/A
28/06/2010,Mon,21,N/A
29/06/2010,Tue,31,N/A
30/06/2010,Wed,24,N/A
01/07/2010,Thu,16,N/A
02/07/2010,Fri,16,N/A
03/07/2010,Sat,7,N/A
04/07/2010,Sun,8,N/A
05/07/2010,Mon,10,N/A
06/07/2010,Tue,14,N/A
07/07/2010,Wed,22,N/A
08/07/2010,Thu,18,N/A
09/07/2010,Fri,11,N/A
10/07/2010,Sat,13,N/A
11/07/2010,Sun,9,N/A
12/07/2010,Mon,33,'post soccer WC 2010'
13/07/2010,Tue,10,N/A
14/07/2010,Wed,7,N/A
15/07/2010,Thu,16,N/A
16/07/2010,Fri,6,N/A
17/07/2010,Sat,7,N/A
18/07/2010,Sun,9,N/A
19/07/2010,Mon,24,N/A
20/07/2010,Tue,15,N/A
21/07/2010,Wed,12,N/A
22/07/2010,Thu,8,N/A
23/07/2010,Fri,6,N/A
24/07/2010,Sat,3,N/A
25/07/2010,Sun,5,N/A
26/07/2010,Mon,9,N/A
27/07/2010,Tue,9,N/A
